iter	Passed	Remaining
413	3475	1401
414	3483	1393
415	3492	1385
416	3499	1376
417	3507	1367
418	3515	1359
419	3523	1350
420	3532	1342
421	3540	1334
422	3548	1325
423	3557	1317
424	3566	1309
425	3574	1300
426	3583	1292
427	3591	1283
428	3600	1275
429	3608	1267
430	3617	1258
431	3625	1250
432	3634	1242
433	3642	1233
434	3650	1225
435	3659	1217
436	3667	1208
437	3676	1200
438	3684	1191
439	3692	1183
440	3701	1174
441	3709	1166
442	3717	1158
443	3726	1149
444	3734	1141
445	3743	1133
446	3751	1124
447	3759	1116
448	3768	1107
449	3776	1099
450	3785	1091
451	3794	1082
452	3802	1074
453	3810	1066
454	3819	1057
455	3829	1049
456	3839	1041
457	3850	1034
458	3859	1025
459	3868	1017
460	3877	1009
461	3885	1000
462	3894	992
463	3902	984
464	3911	975
465	3919	967
466	3927	958
467	3936	950
468	3944	942
469	3953	933
470	3961	925
471	3970	916
472	3978	908
473	3987	900
474	3995	891
475	4003	883
476	4012	874
477	4020	866
478	4029	858
479	4040	850
480	4053	842
481	4062	834
482	4070	825
483	4079	817
484	4087	809
485	4096	800
486	4105	792
487	4114	784
488	4122	775
489	4130	767
490	4139	758
491	4147	750
492	4154	741
493	4162	733
494	4171	724
495	4179	716
496	4187	707
497	4196	699
498	4204	690
499	4212	682
500	4221	674
501	4229	665
502	4237	657
503	4246	648
504	4254	640
505	4263	631
506	4271	623
507	4278	614
508	4287	606
509	4296	598
510	4304	589
511	4313	581
512	4321	572
513	4329	564
514	4338	555
515	4346	547
516	4354	539
517	4363	530
518	4372	522
519	4380	513
520	4388	505
521	4396	496
522	4405	488
523	4413	480
524	4421	471
525	4430	463
526	4438	454
527	4447	446
528	4456	438
529	4464	429
530	4472	421
531	4481	412
532	4487	404
533	4496	395
534	4504	387
535	4513	378
536	4522	370
537	4530	362
538	4538	353
539	4547	345
540	4555	336
541	4564	328
542	4572	319
543	4581	311
544	4589	303
545	4598	294
546	4604	286
547	4613	277
548	4621	269
549	4629	260
550	4636	252
551	4645	244
552	4653	235
553	4662	227
554	4670	218
555	4679	210
556	4687	201
557	4695	193
558	4704	185
559	4713	176
560	4721	168
561	4729	159
562	4737	151
563	4746	143
564	4754	134
565	4763	126
566	4771	117
567	4780	109
568	4789	101
569	4797	92
570	4804	84
571	4812	75
572	4820	67
573	4828	58
574	4837	50
575	4846	42
576	4854	33
577	4862	25
578	4871	16
579	4879	8
580	4885	0
